name,age,mer,mer_type,mer_age,insurancecompany,policynumber,deathbenefit,productname,client,gmbh_num,change_owner_sent_date,aniversarydate,premiumadvancedate,max_anni_review_date,last_coi_date,date_addl_prem_due,calc_method,product_carrier_take_coi_age,date_addl_prem_paid,date_carrier_confirmed_premium,annualstatementdate,view_policy_value_stmt_req_latest_annual_stmt.request_sent_by,view_policy_value_stmt_req_latest_annual_stmt.date_received,view_policy_value_stmt_req_latest_policy_values.request_sent_by,view_policy_value_stmt_req_latest_policy_values.date_received,rerequest,request_made_by,request_sent_via,fpdate,reason,illustration_rec,view_illustration_latest_scenario1_service.illustration_issue,view_illustration_latest_scenario1_service.filetime,product_carrier_will_run_minpa,view_illustration_latest_select_scenarios_2.illustration run date,view_illustration_latest_select_scenarios_2.illustration_issue,min pay illustration age,view_illustration_latest_other.illustration run date,view_illustration_latest_other.illustration_issue,other illustration age,date_of_death,kbc_decision,date_request_made,request_sent_to,date_submitted_carrier,view_policy_value_stmt_req_latest_voc.request_sent_by,view_policy_value_stmt_req_latest_voc.most_recent_received,view_policy_value_stmt_req_latest_voc.complete_flag,coll_rel_agrmnt_date,viewlatest_rate_increase_notification.correspondence_type,date_recvd,effective_date,gender,dob,issueage,sub_tracking_ssn_d,ssn_issue,mpic_provider,mpic_effectivedate,stateofissue,policy_type,product_type,death_benefit_type,note_purchaser,endorsee,policiesid,program,view_policy_consolidated.provider,ilittrustee,loanagreementdate,view_policy_value_stmt_req_latest_policy_values.complete_flag,request_made,view_policy_value_stmt_req_latest_policy_values.most_recent_received,strike_price_paid,adj_strike_price_check,original_strike_price_check,rerequest_check,age_of_illustration,ltr_22_month_response,confirmed_lapse_date,rate_increase,new_owner_name,request_type,view_policy_lonsdale_status_latest.status,payoff_date_service,purchaser,view_best_purchaser_offer_accepted.provider,owner,policies.status,cv,csv,monthly_ga,annual_ga,shaow_acct,coi_estimated,view_policy_value_stmt_req_latest_annual_stmt.most_recent_submitted_carrier,view_policy_value_stmt_req_latest_policy_values.most_recent_submitted_carrier,view_policy_performance_latest.filetime,view_latest_rate_change_notification.correspondence_type,date request sent to carrier,view_illustration_latest_select_scenarios.illustration run date,ssn,mer_need_sep_req,rop,total_death_benefit,db_change,partial_surrender_amount,nullnumberforcrystal,illustration open
"Marsolino, Rose",85.03,NULL,NULL,NULL,Phoenix,97528497,2500000.00,PAUL III 1107,,NULL,2011-03-12 00:32:30.000,2008-03-24 22:10:18.000,NULL,NULL,2012-02-24 19:05:06.000,2012-02-24 19:05:12.000,Minimum Grace Amount Due,NULL,2008-04-11 08:00:00.000,NULL,2012-03-23 23:16:03.000,Kathy/Pamela ,2012-04-02 17:44:42.000,Kathy,2012-04-26 17:45:11.000,NULL,NULL,NULL,NULL,NULL,2012-01-26 16:13:59.000,NULL,2012-01-27 16:23:27.487,NULL,2012-02-03 17:24:18.000,NULL,69.723865,NULL,NULL,NULL,NULL,Distressed,2011-05-20 07:00:00.000,Carrier,2011-05-20 22:08:53.000,Sabine,2011-05-23 17:23:48.000,Yes,NULL,Rate Increase Notification,2011-10-17 07:00:00.000,2012-03-24 07:00:00.000,Female,1932-11-12 08:00:00.000,75,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A006A8E,9,Oceanus,"de la Vega, Victor",2008-04-11 08:00:00.000,Yes,2012-01-26 16:13:53.000,2012-04-26 17:45:11.000,2009-07-29 14:24:37.000,T,NULL,F,69.986850,NULL,2012-04-25 07:00:00.000,Y,"U.S. Bank National Association, as Securities Intermediary",VOC,Option 1: Exercise,NULL,NULL,NULL,Pacifica,Lapse,T,F,F,F,F,F,2012-03-28 20:12:54.000,2012-04-26 17:45:05.000,2012-04-02 23:17:48.230,Rate Increase Notification,2012-01-31 21:11:54.000,2012-02-03 17:24:18.000,381306420,NULL,F,2500000.0000,NULL,NULL,NULL,NULL
"Puntureri, Albert",86.25,NULL,NULL,NULL,Lincoln,7228936,10000000.00,UL DB-2,,NULL,2010-02-27 00:24:34.000,2006-02-24 08:00:00.000,NULL,2012-03-08 08:00:00.000,2012-04-24 16:57:33.000,2012-06-24 16:57:39.000,COI x 1.02 / (1-Prem Exp),NULL,2012-06-11 21:21:26.000,NULL,2012-02-24 08:00:00.000,Sabine Wyss,2012-03-08 16:29:42.000,Shannon,2012-06-14 22:03:20.000,NULL,Kathy,Phone,NULL,NULL,2012-02-29 23:43:19.000,NULL,2012-03-05 23:43:14.923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-25 22:14:00.000,Trust,2010-08-26 22:14:01.000,Sabine,2010-08-27 18:00:53.000,Yes,NULL,NULL,NULL,NULL,Male,1931-08-24 07:00:00.000,74,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,Spurling Group LLC,Q6UJ9A002FZV,0,MCC,NULL,2006-03-21 08:00:00.000,No,2012-02-27 19:10:45.000,2012-06-14 22:03:20.000,NULL,NULL,NULL,F,68.869165,Spec. Arngmnt/Surrender,NULL,NULL,U.S. Bank National Association for the benefit of Estate Planning LLC,VOC,NULL,NULL,NULL,NULL,Tribunus,Spec. Arngmnt/Surrender,T,F,F,F,F,T,2012-03-06 20:15:58.000,2012-06-13 22:03:13.000,2012-03-08 22:44:33.050,NULL,2012-05-14 18:27:05.000,NULL,175263484,NULL,F,10000000.0000,NULL,NULL,NULL,NULL
"Quinn, William",83.77,NULL,NULL,NULL,SLD,1627434,15000000.00,LifeDesign GUL,,NULL,2010-04-29 18:03:26.000,2007-12-12 08:00:00.000,2008-01-11 08:00:00.000,2012-03-13 07:00:00.000,2012-03-11 16:27:28.000,2012-03-11 16:27:40.000,Minimum Grace Amount Due,NULL,2011-09-26 16:14:50.000,2011-09-29 15:35:00.000,2012-01-10 08:00:00.000,Ashley,2010-01-22 21:27:36.000,Sabine,2012-05-15 15:48:23.000,NULL,Crystal,Fax,NULL,NULL,2012-01-12 21:53:11.000,NULL,2012-01-12 21:52:53.710,NULL,NULL,NULL,NULL,2011-09-26 17:01:05.000,NULL,73.997370,NULL,Distressed,2011-06-10 07:00:00.000,Carrier,2011-06-10 17:11:00.000,Sabine,2011-06-17 15:36:15.000,Yes,NULL,NULL,NULL,NULL,Male,1934-02-17 08:00:00.000,74,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A008C0D,20,Midas,NULL,NULL,Yes,2012-01-12 16:38:50.000,2012-05-15 15:48:23.000,NULL,NULL,NULL,F,70.447074,NULL,2012-05-12 07:00:00.000,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,NULL,NULL,NULL,NULL,Pacifica,Lapse,F,F,F,F,T,T,2010-01-22 08:00:00.000,2012-05-15 15:48:18.000,2012-01-19 17:23:47.643,NULL,NULL,NULL,544342213,NULL,F,15000000.0000,NULL,NULL,NULL,NULL
"Weller, Geraldine",85.12,NULL,NULL,NULL,Phoenix,97528914,10000000.00,PAUL III 1107,,NULL,2011-03-24 23:30:48.000,2008-04-11 20:58:18.000,NULL,NULL,2012-03-11 16:45:10.000,2012-03-11 16:45:16.000,Minimum Grace Amount Due,NULL,NULL,NULL,2012-04-10 07:00:00.000,Crystal,2010-04-26 17:33:02.000,Sabine,2012-05-15 15:49:26.000,NULL,Crystal,Fax,NULL,NULL,2011-04-12 16:19:34.000,NULL,2011-04-13 16:17:21.983,NULL,2011-10-25 20:04:30.000,NULL,73.044049,NULL,NULL,NULL,NULL,Distressed,2011-05-20 07:00:00.000,Carrier,2011-05-20 21:51:18.000,Sabine,2011-05-24 16:12:51.000,Yes,NULL,Rate Increase Notification,2011-10-24 07:00:00.000,2012-04-11 07:00:00.000,Female,1932-10-12 07:00:00.000,75,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0060V2,9,Oceanus,"Ciarimboli, C. Jill",2008-05-01 08:00:00.000,Yes,2011-04-11 18:21:47.000,2012-05-15 15:49:26.000,2009-07-31 13:35:47.000,T,NULL,F,79.487179,NULL,2012-05-12 07:00:00.000,Y,"U.S. Bank National Association, as Securities Intermediary",VOC,Option 1: Exercise,NULL,NULL,NULL,Pacifica,Lapse,T,F,F,F,F,F,2010-04-22 18:17:43.000,2012-05-15 15:49:22.000,2012-04-18 18:26:59.547,Rate Increase Notification,2011-10-24 23:55:38.000,2011-10-25 20:04:30.000,300309530,NULL,F,10000000.0000,NULL,NULL,NULL,NULL
"Trenton, Clifford",86.81,NULL,NULL,NULL,AXA,157203306,4600000.00,Athena UL II,,NULL,2011-06-03 00:12:07.000,2007-03-12 07:00:00.000,NULL,2012-03-23 07:00:00.000,2012-05-12 22:41:35.000,2012-07-12 22:41:38.000,COI x 1.02 / (1-Prem Exp),NULL,2012-05-21 21:19:54.000,2012-05-22 16:30:11.000,2012-03-11 08:00:00.000,NULL,NULL,Sabine,2012-05-22 16:30:01.000,NULL,Sabine,Fax,2012-03-21 07:00:00.000,Item not received,2012-03-14 16:32:14.000,NULL,2012-03-21 16:33:03.967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-25 16:06:27.000,Trust,2010-08-27 16:06:29.000,Sabine,2010-08-30 18:50:22.000,Yes,NULL,NULL,NULL,NULL,Male,1931-02-01 08:00:00.000,76,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A003I2T,1,Lonsdale,"Brouner, J. Frederic",2007-06-08 20:54:21.000,Yes,2012-03-13 16:19:34.000,2012-05-22 16:30:01.000,NULL,NULL,NULL,F,68.408941,Surrender,NULL,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Surrender,NULL,NULL,NULL,Pacifica,Surrender,T,F,F,F,F,F,NULL,2012-05-22 16:30:06.000,2012-03-21 20:14:57.113,NULL,NULL,NULL,491302005,NULL,F,4600000.0000,NULL,NULL,NULL,NULL
"Crenshaw, Reba",92.82,NULL,NULL,NULL,AXA,156233099,5000000.00,Athena UL II,,NULL,2011-05-26 23:31:20.000,2007-02-13 08:00:00.000,NULL,2012-03-26 07:00:00.000,2012-05-13 18:08:34.000,2012-07-13 18:08:37.000,COI x 1.02 / (1-Prem Exp),NULL,2012-05-21 20:35:42.000,2012-05-23 15:33:35.000,2012-02-12 08:00:00.000,NULL,NULL,Sabine,2012-05-23 15:33:05.000,NULL,Sabine,Fax,NULL,NULL,2012-02-16 16:13:30.000,NULL,2012-02-16 16:14:34.227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-11 07:00:00.000,Carrier,2010-08-11 18:05:37.000,NULL,2010-08-12 18:05:42.000,Yes,NULL,NULL,NULL,NULL,Female,1925-01-28 08:00:00.000,82,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A003DRL,1,Lonsdale,"Brouner, J. Frederic",2007-05-18 21:28:34.000,Yes,2012-02-14 23:00:17.000,2012-05-23 15:33:05.000,NULL,NULL,NULL,F,69.296515,Surrender,NULL,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Surrender,NULL,NULL,NULL,Pacifica,Surrender,T,F,F,F,F,F,NULL,2012-05-23 15:33:10.000,2012-02-22 23:06:05.747,NULL,NULL,NULL,432247501,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
"Gaiser, Robert",90.46,NULL,NULL,NULL,AXA,156231821 ,6500000.00,Athena UL II,,NULL,2011-05-26 00:54:00.000,2006-12-09 23:56:17.000,NULL,2012-01-24 08:00:00.000,2012-05-09 18:46:47.000,2012-07-09 18:46:50.000,COI x 1.02 / (1-Prem Exp),NULL,2012-05-21 20:42:10.000,2012-05-23 15:04:11.000,2011-12-08 08:00:00.000,NULL,NULL,Sabine,2012-05-23 15:03:32.000,NULL,Sabine,Fax,NULL,NULL,2011-12-13 18:32:51.000,NULL,2011-12-13 18:33:41.123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-25 18:14:51.000,Trust,2010-08-26 18:14:52.000,Sabine,2010-08-30 18:53:58.000,Yes,NULL,NULL,NULL,NULL,Male,1927-06-11 07:00:00.000,79,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0033GY,1,Lonsdale,"Brouner, J. Frederic",2007-04-13 00:25:04.000,Yes,2011-12-12 18:58:19.000,2012-05-23 15:03:32.000,NULL,NULL,NULL,F,71.433267,Surrender,NULL,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Surrender,NULL,NULL,NULL,Pacifica,Surrender,T,F,F,F,F,F,NULL,2012-05-23 15:03:37.000,2011-12-21 21:16:21.663,NULL,NULL,NULL,287229077,NULL,F,6500000.0000,NULL,NULL,NULL,NULL
"Gilbert, Ross",92.8,NULL,NULL,NULL,AXA,157203713,7500000.00,Athena UL II,,NULL,2010-02-26 23:52:05.000,2007-06-01 17:43:07.000,NULL,2012-06-26 07:00:00.000,2012-06-01 15:35:52.000,2012-07-01 15:35:55.000,COI x 1.02 / (1-Prem Exp) - CV Adj.,NULL,2012-05-21 20:43:34.000,2012-05-22 17:09:37.000,2012-05-31 07:00:00.000,NULL,NULL,Sabine,2012-06-04 15:28:23.000,NULL,Sabine,Fax,NULL,NULL,2012-06-05 15:03:58.000,NULL,2012-06-05 15:03:56.397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-07-20 07:00:00.000,Carrier,2010-07-20 23:10:59.000,NULL,2010-08-03 23:11:05.000,Yes,NULL,NULL,NULL,NULL,Male,1925-02-05 08:00:00.000,82,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A003DKS,1,Lonsdale,"Brouner, J. Frederic",2007-09-11 15:54:58.000,Yes,2012-06-04 16:03:48.000,2012-06-04 15:28:23.000,NULL,NULL,NULL,F,65.680473,NULL,NULL,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Surrender,NULL,NULL,NULL,Pacifica,Surrender,T,F,F,F,F,F,NULL,2012-06-04 15:28:20.000,2012-06-12 17:37:38.133,NULL,NULL,NULL,335125415,NULL,F,7500000.0000,NULL,NULL,NULL,NULL
"Mutz, John",82.05,NULL,NULL,NULL,AXA,157214724,5000000.00,Athena UL II,,NULL,2011-03-11 19:01:18.000,2007-05-03 07:00:00.000,NULL,NULL,2012-04-03 15:46:09.000,2012-04-03 15:46:17.000,Minimum Grace Amount Due,NULL,2012-02-24 17:59:36.000,2012-02-28 17:30:57.000,2011-05-02 07:00:00.000,Shannon,NULL,Shannon,2012-06-05 15:26:46.000,NULL,Crystal,Fax,NULL,NULL,2011-05-05 18:03:20.000,NULL,2011-05-05 18:03:11.790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Distressed,2011-05-20 07:00:00.000,Carrier,2011-05-20 22:06:35.000,Sabine,2011-05-27 16:04:35.000,Yes,NULL,NULL,NULL,NULL,Male,1935-11-05 08:00:00.000,71,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A003VII,9,Oceanus,"Harvey, John",2007-10-15 08:00:00.000,Yes,2011-05-04 16:16:52.000,2012-06-05 15:26:46.000,2009-07-22 13:47:56.000,T,NULL,F,78.731097,NULL,2012-06-04 07:00:00.000,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Option 1: Exercise,NULL,NULL,NULL,Pacifica,Lapse,T,F,F,F,F,T,2012-05-14 16:49:59.000,2012-06-05 15:26:36.000,2011-05-17 17:14:00.657,NULL,NULL,NULL,315360982,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
"Platt, Stoddard",83.56,NULL,NULL,NULL,JP,JP5558379,5000000.00,Legend Plus,,NULL,2011-05-26 23:55:25.000,2006-10-19 07:00:00.000,2006-11-04 07:00:00.000,NULL,2012-04-04 15:52:15.000,2012-04-04 15:52:22.000,Minimum Grace Amount Due,NULL,2012-02-17 23:12:39.000,2012-02-22 16:16:01.000,2011-11-04 07:00:00.000,Sabine,2009-11-23 19:49:04.000,Sabine,2012-06-08 15:16:11.000,NULL,Sabine,Fax,NULL,NULL,2011-11-16 17:55:18.000,NULL,2011-11-16 17:56:03.150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Distressed,2010-08-25 18:18:20.000,Trust,2010-08-26 18:18:22.000,Sabine,2010-08-27 15:48:44.000,Yes,NULL,NULL,NULL,NULL,Male,1934-05-05 07:00:00.000,72,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0030TB,1,Lonsdale,"Brouner, J. Frederic",2007-01-12 08:00:00.000,Yes,2011-11-07 16:29:44.000,2012-06-08 15:16:11.000,NULL,NULL,NULL,F,72.320841,Surrender,2012-06-03 07:00:00.000,NULL,"U.S. Bank National Association for the benefit of Lima Acquisition, LP",VOC,Surrender,NULL,NULL,NULL,Pacifica,Lapse,F,T,F,F,F,T,2009-11-23 08:00:00.000,2012-06-08 15:16:17.000,2011-11-15 21:16:47.447,NULL,NULL,NULL,285325863,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
"Platt, Stoddard",83.56,NULL,NULL,NULL,JP,JP5558395,5000000.00,Legend Plus,,NULL,2011-05-26 23:56:35.000,2006-10-19 07:00:00.000,2006-11-04 07:00:00.000,NULL,2012-04-04 15:55:12.000,2012-04-04 15:55:24.000,Minimum Grace Amount Due,NULL,2012-02-17 23:13:15.000,2012-02-22 16:09:29.000,2011-11-04 07:00:00.000,Sabine,2009-11-23 19:53:13.000,Sabine,2012-06-08 15:16:32.000,NULL,Sabine,Fax,NULL,NULL,2011-11-16 17:54:10.000,NULL,2011-11-16 17:54:48.943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Distressed,2010-08-25 15:49:12.000,Trust,2010-08-27 15:49:14.000,Sabine,2010-08-27 15:49:20.000,Yes,NULL,NULL,NULL,NULL,Male,1934-05-05 07:00:00.000,72,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0036WE,1,Lonsdale,"Brouner, J. Frederic",2007-01-12 08:00:00.000,Yes,2011-11-07 16:30:01.000,2012-06-08 15:16:32.000,NULL,NULL,NULL,F,72.320841,Surrender,2012-06-03 07:00:00.000,NULL,"U.S. Bank National Association for the benefit of Lima Acquisition, LP",VOC,Surrender,NULL,NULL,NULL,Pacifica,Lapse,F,T,F,F,F,T,2009-11-23 08:00:00.000,2012-06-08 15:16:38.000,2011-11-15 21:18:04.377,NULL,NULL,NULL,285325863,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
"Akins, Dean",80.74,NULL,NULL,NULL,AXA,158208213,5000000.00,Athena UL-DB,,NULL,2009-09-30 21:20:34.000,2008-06-02 07:00:00.000,2008-06-09 07:00:00.000,NULL,2012-04-09 16:37:53.000,2012-04-09 16:37:59.000,Minimum Grace Amount Due,NULL,2012-02-17 21:19:53.000,2012-02-21 18:04:58.000,2011-06-08 07:00:00.000,NULL,NULL,Sabine,2012-06-12 15:42:42.000,NULL,Sabine,Fax,NULL,NULL,2011-06-14 15:06:50.000,NULL,2011-06-15 15:07:37.357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Distressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1937-02-25 08:00:00.000,71,NULL,NULL,NULL,NULL,MN,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0098ZP,24,PFG,NULL,2008-06-13 08:00:00.000,Yes,2011-06-13 17:18:12.000,2012-06-12 15:42:42.000,NULL,NULL,NULL,F,77.416173,NULL,2012-06-11 07:00:00.000,NULL,"U.S. Bank National Association, as Securities Intermediary",NULL,Surrender,NULL,NULL,NULL,Pacifica,Lapse,T,F,F,F,F,T,NULL,2012-06-12 15:42:40.000,2011-06-14 21:23:54.763,NULL,NULL,NULL,477364019,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
"Freche, Gerhard",86.37,NULL,NULL,NULL,AXA,157227235,10000000.00,Athena UL DB,,NULL,2011-03-17 23:51:08.000,2008-01-11 08:00:00.000,NULL,2012-03-06 08:00:00.000,2012-04-11 16:41:13.000,2012-04-11 16:41:21.000,Minimum Grace Amount Due,NULL,2012-03-01 21:48:05.000,2012-03-02 19:41:29.000,2012-01-10 08:00:00.000,Kathy,2012-01-25 16:22:51.000,Crystal,2012-04-12 15:51:19.000,NULL,Kathy,Phone,2012-01-27 08:00:00.000,Item not received,2012-01-17 18:39:56.000,NULL,2012-01-30 19:06:35.410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-29 13:09:52.000,Distressed,2011-05-20 07:00:00.000,Carrier,2011-05-20 20:06:20.000,Scott,2011-05-24 16:23:41.000,Yes,NULL,NULL,NULL,NULL,Male,1931-07-13 07:00:00.000,76,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A004K8C,11,Oceanus,"Liggins, M. Erik",2008-03-27 08:00:00.000,Yes,2012-01-12 17:08:34.000,2012-04-12 15:51:19.000,2010-04-23 11:30:40.000,NULL,T,F,70.282708,NULL,2012-06-11 07:00:00.000,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,Option 1: Exercise,NULL,NULL,NULL,Pacifica,Deceased,T,F,F,F,F,T,2012-01-12 17:08:55.000,2012-04-12 15:51:11.000,2012-01-25 22:30:59.617,NULL,NULL,NULL,340220924,NULL,F,10000000.0000,NULL,NULL,NULL,NULL
"Hauschild, Clarence W.",85.62,NULL,NULL,NULL,Lincoln,JJ7037429,10000000.00,LifeGuarantee Plus,,NULL,2010-09-29 22:00:58.000,2008-07-15 08:00:00.000,2008-07-23 07:00:00.000,NULL,2012-05-23 18:31:03.000,2012-07-23 18:31:08.000,Illust COI x 1,NULL,2012-06-11 20:07:56.000,2012-06-13 17:59:37.000,2011-07-23 07:00:00.000,NULL,NULL,Sabine,2012-06-13 17:51:44.000,NULL,NULL,NULL,NULL,NULL,2012-05-30 17:22:25.000,NULL,2012-06-14 17:23:53.413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1932-04-11 08:00:00.000,76,NULL,NULL,NULL,NULL,MN,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0098YH,24,PFG,NULL,2008-07-23 08:00:00.000,Yes,2012-05-30 17:22:21.000,2012-06-13 17:51:44.000,NULL,NULL,NULL,F,65.877712,NULL,NULL,NULL,U.S. Bank National Association,NULL,Surrender,NULL,NULL,NULL,Pacifica,Surrender,F,T,F,F,F,T,NULL,2012-06-13 17:51:21.000,2011-08-03 19:00:10.237,NULL,2012-05-14 20:43:16.000,NULL,322286779,NULL,F,10000000.0000,NULL,NULL,NULL,NULL
"Kim, Anne",83.36,NULL,NULL,NULL,Phoenix,97525207,6000000.00,PAUL III 0707,,NULL,2009-12-18 00:03:21.000,2007-11-13 08:00:00.000,NULL,NULL,2012-04-13 19:04:55.000,2012-04-13 19:05:01.000,Minimum Grace Amount Due,NULL,2008-02-01 08:00:00.000,NULL,2011-11-12 22:55:55.000,Crystal,2008-12-12 08:00:00.000,Sabine,2012-06-14 17:57:11.000,NULL,Sabine,Fax,2012-03-14 07:00:00.000,Item not received,2012-03-07 18:41:08.000,NULL,2012-03-14 17:41:53.110,NULL,2011-10-12 22:07:42.000,NULL,73.471400,NULL,NULL,NULL,NULL,Distressed,2011-05-20 07:00:00.000,Carrier,2011-05-20 20:12:32.000,Crystal,2011-05-23 17:04:26.000,Yes,NULL,Rate Increase Notification,2011-10-06 07:00:00.000,2011-11-13 08:00:00.000,Female,1934-07-14 07:00:00.000,73,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A004GD8,8,Midas,"Temple, M. James",2008-01-31 13:51:19.000,Yes,2012-03-05 23:30:19.000,2012-06-14 17:57:11.000,NULL,NULL,NULL,F,68.639053,NULL,2012-06-13 07:00:00.000,Y,"U.S. Bank National Association, as Securities Intermediary",VOC,NULL,NULL,NULL,NULL,Pacifica,Lapse,T,F,F,F,F,F,2008-12-03 08:00:00.000,2012-06-14 17:57:09.000,2011-11-22 22:56:46.467,Rate Increase Notification,2011-10-07 07:00:00.000,2011-10-12 22:07:42.000,550626669,NULL,F,6000000.0000,NULL,NULL,NULL,NULL
"Jensen, Helen",86.07,NULL,NULL,NULL,AXA,155226573,10000000.00,Athena UL II,,NULL,2010-09-17 07:00:00.000,2005-11-22 08:00:00.000,NULL,NULL,2012-05-22 19:34:29.000,2012-07-22 19:34:32.000,COI x 1.02 / (1-Prem Exp),NULL,2012-06-11 22:16:27.000,2012-06-13 18:26:17.000,2011-11-21 08:00:00.000,Kathy,2010-11-30 22:47:26.000,Shannon,2012-06-13 18:26:43.000,NULL,Kathy,Phone,NULL,NULL,2011-11-25 19:27:53.000,NULL,2011-11-28 19:37:34.040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-10 07:00:00.000,Carrier,2010-08-10 18:09:53.000,NULL,2010-08-12 18:09:58.000,Yes,NULL,NULL,NULL,NULL,Female,1931-10-31 08:00:00.000,74,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,Spurling Group LLC,Q6UJ9A00287G,0,MCC,NULL,2005-12-07 08:00:00.000,Yes,2011-11-23 16:52:50.000,2012-06-13 18:26:43.000,NULL,NULL,NULL,F,72.024983,Surrender,NULL,NULL,"U.S. Bank National Association, as Securities Intermediary",VOC,NULL,NULL,NULL,NULL,AIG,Surrender,T,F,F,F,F,F,2010-11-23 21:14:15.000,2012-06-13 18:26:30.000,2011-11-29 23:30:22.707,NULL,NULL,NULL,510287854,NULL,F,10000000.0000,NULL,NULL,NULL,NULL
"Sternberg, Doris",90.94,NULL,NULL,NULL,JP,JF5515525,5000000.00,Legend 300,,NULL,2010-02-27 00:25:54.000,2005-04-19 07:00:00.000,NULL,2012-05-18 07:00:00.000,2012-05-19 21:41:10.000,2012-07-19 21:41:18.000,COI x 1.02 / (1-Prem Exp),NULL,2012-07-05 21:35:33.000,NULL,2012-04-19 16:16:29.000,Shannon,2012-05-03 16:16:08.000,Shannon,2012-06-14 16:24:34.000,NULL,Shannon,Fax,NULL,NULL,2012-04-25 20:16:35.000,NULL,2012-04-25 20:17:55.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Policy Sale,2010-08-25 21:49:23.000,Trust,2010-08-26 21:49:24.000,Sabine,2010-08-27 16:26:44.000,Yes,NULL,NULL,NULL,NULL,Female,1926-12-16 08:00:00.000,78,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,Spurling Group II LLC,Q6UJ9A001W9D,0,MCC,NULL,2005-05-04 08:00:00.000,Yes,2012-04-20 15:08:37.000,2012-06-14 16:24:34.000,NULL,NULL,NULL,F,67.028270,Surrender,NULL,NULL,U.S. Bank National Association for the benefit of Estate Planning LLC,VOC,NULL,NULL,NULL,NULL,Tribunus,Surrender,F,T,F,F,F,T,2012-04-30 16:37:08.000,2012-06-14 16:24:26.000,2012-05-03 16:17:58.357,NULL,2012-05-14 20:41:39.000,NULL,331201900,NULL,F,5000000.0000,NULL,NULL,NULL,NULL
